Date;Open;High;Low;Close
01.05.2018;9251.469727;9255.879883;8891.049805;9119.009766
02.05.2018;9104.599609;9256.519531;9015.139648;9235.919922
03.05.2018;9233.969727;9798.330078;9188.150391;9743.860352
04.05.2018;9695.500000;9779.200195;9585.959961;9700.759766
05.05.2018;9700.280273;9964.500000;9695.120117;9858.150391
06.05.2018;9845.309570;9940.139648;9465.250000;9654.799805
07.05.2018;9645.669922;9665.849609;9231.530273;9373.009766
08.05.2018;9380.870117;9462.750000;9127.769531;9234.820313
09.05.2018;9223.730469;9374.759766;9031.620117;9325.179688
10.05.2018;9325.959961;9396.040039;9040.519531;9043.940430
11.05.2018;9052.959961;9052.959961;8394.459961;8441.490234
12.05.2018;8441.440430;8664.860352;8223.500000;8504.889648
13.05.2018;8515.490234;8773.549805;8395.120117;8723.940430
14.05.2018;8713.099609;8881.120117;8367.969727;8716.790039
15.05.2018;8705.190430;8836.190430;8456.450195;8510.379883
16.05.2018;8504.410156;8508.429688;8175.490234;8368.830078
17.05.2018;8370.049805;8445.540039;8054.120117;8094.319824
18.05.2018;8091.830078;8274.120117;7974.819824;8250.969727
19.05.2018;8255.730469;8372.059570;8183.350098;8247.179688
20.05.2018;8246.990234;8562.410156;8205.240234;8513.250000
21.05.2018;8522.330078;8557.519531;8365.120117;8418.990234
22.05.2018;8419.870117;8423.250000;8004.580078;8041.779785
23.05.2018;8037.080078;8054.660156;7507.879883;7557.819824
24.05.2018;7561.120117;7738.600098;7331.140137;7587.339844
25.05.2018;7592.299805;7659.140137;7392.649902;7480.140137
26.05.2018;7486.479980;7595.160156;7349.120117;7355.879883
27.05.2018;7362.080078;7381.740234;7270.959961;7368.220215
28.05.2018;7371.310059;7419.049805;7100.890137;7135.990234
29.05.2018;7129.459961;7526.419922;7090.680176;7472.589844
30.05.2018;7469.729980;7573.770020;7313.600098;7406.520020
31.05.2018;7406.149902;7608.899902;7361.129883;7494.169922
01.06.2018;7500.700195;7604.729980;7407.339844;7541.450195
02.06.2018;7536.720215;7695.830078;7497.259766;7643.450195
03.06.2018;7632.089844;7754.890137;7613.040039;7720.250000
04.06.2018;7722.529785;7753.819824;7474.040039;7514.470215
05.06.2018;7500.899902;7643.229980;7397.000000;7633.759766
06.06.2018;7625.970215;7680.430176;7502.009766;7653.979980
07.06.2018;7650.819824;7741.270020;7650.819824;7678.240234
08.06.2018;7685.140137;7698.189941;7558.399902;7624.919922
09.06.2018;7632.520020;7683.580078;7531.979980;7531.979980
10.06.2018;7499.549805;7499.549805;6709.069824;6786.020020
11.06.2018;6799.290039;6910.180176;6706.629883;6906.919922
12.06.2018;6905.819824;6907.959961;6542.080078;6582.359863
13.06.2018;6596.879883;6631.660156;6285.629883;6349.899902
14.06.2018;6342.750000;6707.140137;6334.459961;6675.350098
15.06.2018;6674.080078;6681.080078;6433.870117;6456.580078
16.06.2018;6455.450195;6592.490234;6402.290039;6550.160156
17.06.2018;6545.529785;6589.109863;6499.270020;6499.270020
18.06.2018;6510.069824;6781.140137;6446.680176;6734.819824
19.06.2018;6742.390137;6822.500000;6709.919922;6769.939941
20.06.2018;6770.759766;6821.560059;6611.879883;6776.549805
21.06.2018;6780.089844;6810.939941;6715.169922;6729.740234
22.06.2018;6737.879883;6747.080078;6006.600098;6083.689941
23.06.2018;6090.100098;6224.819824;6071.810059;6162.479980
24.06.2018;6164.279785;6223.779785;5826.410156;6173.229980
25.06.2018;6171.970215;6327.370117;6119.680176;6249.180176
26.06.2018;6253.549805;6290.160156;6093.669922;6093.669922
27.06.2018;6084.399902;6180.000000;6052.850098;6157.129883
28.06.2018;6153.160156;6170.410156;5873.049805;5903.439941
29.06.2018;5898.129883;6261.660156;5835.750000;6218.299805
30.06.2018;6214.220215;6465.509766;6214.220215;6404.000000
01.07.2018;6411.680176;6432.850098;6289.290039;6385.819824
02.07.2018;6380.379883;6683.859863;6305.700195;6614.180176
03.07.2018;6596.660156;6671.370117;6447.750000;6529.589844
04.07.2018;6550.870117;6771.919922;6450.459961;6597.549805
